Drive 0.14405 pose: 0.7014693465659092, 0.720552357620525 orientation: 50.375
Drive 0.10833571428571429 pose: 0.7549192280168184, 0.8147847149224607 orientation: 60.43750000000001
Drive 0.10238333333333333 pose: 0.7974785063361647, 0.9079032134787672 orientation: 65.4375
Drive 0.07857380952380952 pose: 0.8164872312806519, 0.9841430450569438 orientation: 76.0
Drive 0.07339782608695652 pose: 0.8400801892524576, 1.0536456580181248 orientation: 71.25
Drive 0.06215344827586207 pose: 0.8551822452961348, 1.1139364453395215 orientation: 75.9375
Drive 0.05329657534246575 pose: 0.8767536413533397, 1.1626724670829747 orientation: 66.125
Drive 0.04745909090909091 pose: 0.8906788361433772, 1.2080426583981638 orientation: 72.9375
Drive 0.04230581395348837 pose: 0.9030919837357295, 1.248486392908192 orientation: 72.9375
Drive 0.12828333333333333 pose: 0.9407321991457511, 1.3711233685517485 orientation: 72.9375
Drive 1.6801567434516353 pose: 2.400350872999484, 0.5389935652737533 orientation: 330.3125
Drive 0.25 pose: 2.617535769519192, 0.415176277612766 orientation: 330.3125
Drive 0 pose: 2.617535769519192, 0.415176277612766 orientation: 85.75
Drive 0.10238333333333333 pose: 2.6111739457067644, 0.5173617665151736 orientation: 93.5625
Drive 0.12321666666666667 pose: 2.6035175948284834, 0.6403403306459728 orientation: 93.5625
Drive 0.08234113924050633 pose: 2.5984011388262434, 0.7225223547716999 orientation: 93.5625
Drive 0.06759368932038835 pose: 2.597737549993009, 0.790112786681857 orientation: 90.5625
Drive 0.04953780487804878 pose: 2.590843220073376, 0.8391684930481391 orientation: 98.0
Drive 0.04652252747252747 pose: 2.5901835155188473, 0.8856863428730484 orientation: 90.8125
Drive 0.04060172413793103 pose: 2.582262512082368, 0.9255079162665236 orientation: 101.25
Drive 0.05283378378378378 pose: 2.5862928830974776, 0.978187749394507 orientation: 85.625
Drive 0.08483947368421052 pose: 2.5684727604612125, 1.0611345969792243 orientation: 102.125
Drive 0.13433953488372094 pose: 2.558663204989055, 1.1951155032838658 orientation: 94.1875
Drive 0.5977387749343338 pose: 2.4542248918557785, 0.6065712977989475 orientation: 259.9375
Drive 0.25 pose: 2.4105443086675997, 0.3604168612101657 orientation: 259.9375
Drive 0.06369285714285715 pose: 2.426491726497267, 0.42208095056196276 orientation: 75.5
Drive 0.059372580645161294 pose: 2.442857027634331, 0.47915353812516515 orientation: 74.0
Drive 0.22738333333333335 pose: 2.505532368391186, 0.6977284267532733 orientation: 74.0
Drive 0.1976214285714286 pose: 2.5600042164153924, 0.887694336335598 orientation: 74.0
Drive 0.16610882352941178 pose: 2.605790013310912, 1.0473683857517992 orientation: 74.0
Drive 0.13532906976744186 pose: 2.6430917602667843, 1.1774550368662056 orientation: 74.0
Drive 0.10525689655172414 pose: 2.672104492913805, 1.2786344597547201 orientation: 74.0
Drive 0.08483947368421052 pose: 2.6954894211090266, 1.3601873961109188 orientation: 74.0
Drive 0.06712692307692308 pose: 2.7139921086900807, 1.4247139360309629 orientation: 74.0
Drive 0.05238333333333334 pose: 2.7281010385163307, 1.475161450442171 orientation: 74.375
Drive 0.039541803278688524 pose: 2.7356036248609414, 1.5139849665718592 orientation: 79.0625
Drive 0.14814244604316545 pose: 2.772851960054678, 1.6573681798325028 orientation: 75.4375
Drive 1.0998528411810062 pose: 2.419315850873292, 0.6158843865074128 orientation: 251.25
Drive 0.25 pose: 2.3389559845475016, 0.37915185413363645 orientation: 251.25
Drive 0.11164259259259258 pose: 2.386799405920916, 0.48002343344159387 orientation: 64.625
Drive 0.08155 pose: 2.4368662813210085, 0.5443950924824452 orientation: 52.125
Drive 0.08571666666666666 pose: 2.4894912435492276, 0.612055718365768 orientation: 52.125
Drive 0.06712692307692308 pose: 2.5266631079377158, 0.6679509444558288 orientation: 56.375
Drive 0.04953780487804878 pose: 2.562818971958519, 0.701814606529574 orientation: 43.125
Drive 0.04991419753086419 pose: 2.59461030036421, 0.7402949723458139 orientation: 50.4375
Drive 0.04137142857142857 pose: 2.626244560932159, 0.7669570926733477 orientation: 40.125
Drive 0.042634905660377365 pose: 2.6536141069459482, 0.7996472002239259 orientation: 50.0625
Drive 0.044050000000000006 pose: 2.6881775490329396, 0.826956007797659 orientation: 38.3125
Drive 0.04177727272727273 pose: 2.716132000864959, 0.8580025718474896 orientation: 48.00000000000001
Drive 0.04846176470588236 pose: 2.756918809214482, 0.8841746734648152 orientation: 32.6875
Drive 0.06290964912280701 pose: 2.8000234307208287, 0.9299962356113556 orientation: 46.75
Drive 0.1350235294117647 pose: 2.9043980304060537, 1.0156542558742516 orientation: 39.375
Drive 0.6180891707965068 pose: 2.4509791776952583, 0.5956000128742085 orientation: 222.8125
Drive 0.25 pose: 2.267583773709094, 0.42569967209541115 orientation: 222.8125
Drive 0 pose: 2.267583773709094, 0.42569967209541115 orientation: 253.5
Drive 0.0831525641025641 pose: 2.219370707328405, 0.35795124667457723 orientation: 234.56250000000003
Drive 0.0700704081632653 pose: 2.174388896515774, 0.3042251003751889 orientation: 230.0625
Drive 0.04991419753086419 pose: 2.1358392644117172, 0.2725177986957333 orientation: 219.4375
Drive 0.051944736842105266 pose: 2.0985916317624995, 0.23631186620360567 orientation: 224.1875
Drive 0.041572522522522526 pose: 2.063312123075083, 0.2143202565385511 orientation: 211.9375
Drive 0.04219814814814815 pose: 2.0328934362082878, 0.1850732533342411 orientation: 223.875
Drive 0.039711157024793386 pose: 1.9998267619372931, 0.1630830044747185 orientation: 213.625
Drive 0.04622391304347826 pose: 1.967898764961799, 0.1296576675851093 orientation: 226.3125
Drive 0.05528188405797102 pose: 1.9207632102528067, 0.10077296251002596 orientation: 211.5
Drive 0.03905 pose: 1.8916580516069352, 0.07473851916666532 orientation: 221.8125
Drive 0.042634905660377365 pose: 1.8545048042198085, 0.05382509311400155 orientation: 209.375
Drive 0.04308846153846154 pose: 1.8215576310897728, 0.026056418307829524 orientation: 220.125
Drive 0.045645744680851065 pose: 1.7815148599694783, 0.0041449946097407535 orientation: 208.6875
Drive 0.039541803278688524 pose: 1.7512796045906371, -0.021338010289735938 orientation: 220.125
Drive 0.04509166666666667 pose: 1.7122290757583238, -0.043883843623069275 orientation: 210.00000000000003
Drive 0.046827777777777774 pose: 1.6746471033606851, -0.07182013046130278 orientation: 216.625
Drive 0.06955505050505051 pose: 1.6188251935403635, -0.11331494260417191 orientation: 216.625
Drive 0.14516551724137933 pose: 1.4917073334483857, -0.18341542078794423 orientation: 208.875
Drive 1.234949578934333 pose: 2.393052662705875, -1.0276174463338406 orientation: 316.875
