Drive 0.26905 pose: 0.8045598346252887, 0.7950145770506735 orientation: 43.5625
Drive 0.16610882352941178 pose: 0.9249261188293227, 0.9094877131186565 orientation: 43.5625
Drive 0.12321666666666667 pose: 1.0142117570245008, 0.9944019154438518 orientation: 43.5625
Drive 0.09969516129032258 pose: 1.0864531699890159, 1.063106379910099 orientation: 43.5625
Drive 0.0831525641025641 pose: 1.1467074355385591, 1.1204105891788443 orientation: 43.5625
Drive 0.10995909090909091 pose: 1.2337976021918524, 1.1875396033668637 orientation: 37.625
Drive 0.07586818181818182 pose: 1.293886973098806, 1.233856430939607 orientation: 37.625
Drive 0.07224148936170213 pose: 1.351103918926362, 1.2779591961064698 orientation: 37.625
Drive 0.05780968992248062 pose: 1.3941070610568085, 1.316594542822165 orientation: 41.9375
Drive 0.19668192771084336 pose: 1.5404136906751509, 1.4480409228323219 orientation: 41.9375
Drive 1.6594260193023942 pose: 2.782050118205814, 0.3471169039433335 orientation: 318.4375
Drive -0.25 pose: 2.5949920009580447, 0.5129760633880862 orientation: 318.4375
Drive 0 pose: 2.5949920009580447, 0.5129760633880862 orientation: 127.87500000000001
Drive 0.21905000000000002 pose: 2.416521345860398, 0.6399844401551991 orientation: 144.5625
Drive 0.26905 pose: 2.197313266636377, 0.7959835443286376 orientation: 144.5625
Drive 0.22738333333333335 pose: 2.012053040851001, 0.9278237089968047 orientation: 144.5625
Drive 0.1753 pose: 1.8692276318639323, 1.0294651992833825 orientation: 144.5625
Drive 0.13268636363636363 pose: 1.7611216184391143, 1.106398683257751 orientation: 144.5625
Drive 0.11164259259259258 pose: 1.6658670850540853, 1.1646279057357818 orientation: 148.5625
Drive 0.08661756756756757 pose: 1.5873250246541435, 1.2011484172252724 orientation: 155.0625
Drive 0.08002560975609756 pose: 1.5147603423210525, 1.2348895656161143 orientation: 155.0625
Drive 0.06534629629629629 pose: 1.4555063954053469, 1.262441484143761 orientation: 155.0625
Drive 0.05283378378378378 pose: 1.4075983975980155, 1.284717759752676 orientation: 155.0625
Drive 0.16391929824561402 pose: 1.2546307193990998, 1.3436280794239144 orientation: 158.9375
Drive 1.8152141145738867 pose: 2.7266535224773216, 0.28148348052695016 orientation: 324.1875
Drive -0.25 pose: 2.5239194770471256, 0.427767132462179 orientation: 324.1875
Drive 0 pose: 2.5239194770471256, 0.427767132462179 orientation: 129.0625
Drive 0.64405 pose: 2.2240404452317377, 0.9977434203702511 orientation: 117.75
Drive 0.4357166666666667 pose: 2.0211644384840812, 1.3833472838068561 orientation: 117.75
Drive 0.2968277777777778 pose: 1.8829571151149125, 1.6460361975958164 orientation: 117.75
Drive 0.21135769230769233 pose: 1.7845459045940437, 1.8330851423708416 orientation: 117.75
Drive 0.18034032258064517 pose: 1.7005768318003807, 1.9926840983908096 orientation: 117.75
Drive 0.15062894736842106 pose: 1.630441806724357, 2.1259888546559336 orientation: 117.75
Drive 0.10833571428571429 pose: 1.5851933526449293, 2.224422611026489 orientation: 114.6875
Drive 0.08483947368421052 pose: 1.555828963689347, 2.304018270181239 orientation: 110.25
Drive 0.06071666666666667 pose: 1.5435293664663308, 2.36347609993698 orientation: 101.6875
Drive 0.19384705882352943 pose: 1.5407805521921418, 2.557303668240921 orientation: 90.8125
Drive 2.5533478619070604 pose: 2.795684272963158, 0.33361260257995173 orientation: 299.4375
Drive -0.25 pose: 2.672815808829001, 0.5513356847768409 orientation: 299.4375
Drive 0 pose: 2.672815808829001, 0.5513356847768409 orientation: 145.75
Drive 0.4357166666666667 pose: 2.270266098521625, 0.7180772343155166 orientation: 157.5
Drive 0.4357166666666667 pose: 1.867716388214249, 0.8848187838541923 orientation: 157.5
Drive 0 pose: 1.867716388214249, 0.8848187838541923 orientation: 52.1875
Drive 0.24632272727272728 pose: 1.985723425308566, 1.1010344751610326 orientation: 61.375
Drive 0.22738333333333335 pose: 2.094657074056239, 1.3006256584540237 orientation: 61.375
Drive 0 pose: 2.094657074056239, 1.3006256584540237 orientation: 316.625
Drive 0.37619285714285716 pose: 2.383101126394983, 1.0591280509385244 orientation: 320.0625
Drive 0.26905 pose: 2.5893939116199522, 0.886410972269029 orientation: 320.0625
Drive 0.1914637931034483 pose: 2.736197848245292, 0.7635004834535365 orientation: 320.0625
Drive 0.13532906976744186 pose: 2.8399607574600467, 0.6766257702430073 orientation: 320.0625
Drive 0.10676929824561403 pose: 2.9218256000974865, 0.6080850481297402 orientation: 320.0625
Drive 0.07857380952380952 pose: 2.982071688231301, 0.557644465186474 orientation: 320.0625
Drive 0.06071666666666667 pose: 3.0286258985128205, 0.5186673037175419 orientation: 320.0625
Drive 0.19524761904761906 pose: 3.1916748375843493, 0.4112583831782637 orientation: 326.625
Drive 0.3478600736009255 pose: 2.8974798952800547, 0.22563519839733684 orientation: 212.25
Drive -0.25 pose: 3.108911850706048, 0.3590388273762397 orientation: 212.25
Drive 0.15418513513513515 pose: 3.0517774021282644, 0.5022474538006019 orientation: 111.75000000000001
Drive 0.4357166666666667 pose: 2.841369673995525, 0.8837937832982532 orientation: 118.87500000000001
Drive 0.37619285714285716 pose: 2.659706013946121, 1.2132165821187972 orientation: 118.87500000000001
Drive 0.22738333333333335 pose: 2.5499025241050557, 1.4123305542465736 orientation: 118.87500000000001
Drive 0.21135769230769233 pose: 2.4478378218248884, 1.5974112681151287 orientation: 118.87500000000001
Drive 0.16610882352941178 pose: 2.3676238138343155, 1.7428686645458829 orientation: 118.87500000000001
Drive 0.13268636363636363 pose: 2.3035495232167387, 1.8590588378691706 orientation: 118.87500000000001
Drive 0.10833571428571429 pose: 2.251234169542345, 1.9539257486427326 orientation: 118.87500000000001
Drive 0.07460555555555555 pose: 2.2152071211151743, 2.0192559920326008 orientation: 118.87500000000001
Drive 0.05751153846153846 pose: 2.190958566692026, 2.0714056292758323 orientation: 114.93750000000001
Drive 0.17620000000000002 pose: 2.133048567571097, 2.2378173836738133 orientation: 109.1875
Drive 2.1490660613257937 pose: 2.9511269491763223, 0.25054973750922716 orientation: 292.375
Drive -0.25 pose: 2.8559602164816864, 0.4817277922381042 orientation: 292.375
Drive 0.14405 pose: 2.7221070527672158, 0.4284949728159931 orientation: 201.6875
Drive 0.1579388888888889 pose: 2.5753481499464863, 0.37012959723840827 orientation: 201.6875
Drive 0.1753 pose: 2.412457073242934, 0.3053485264664813 orientation: 201.6875
Drive 0 pose: 2.412457073242934, 0.3053485264664813 orientation: 136.18750000000003
Drive 0.31316764705882355 pose: 2.1490708644681997, 0.4747642287836869 orientation: 147.25
Drive 0.33155 pose: 1.9123393244843017, 0.7068925994686425 orientation: 135.5625
Drive 0.26905 pose: 1.720233696878608, 0.8952627944099403 orientation: 135.5625
Drive 0.2042351851851852 pose: 1.5606753303231353, 1.0227505919820072 orientation: 141.375
Drive 0.1472551282051282 pose: 1.4557581938105486, 1.1260775838510635 orientation: 135.4375
Drive 0.10833571428571429 pose: 1.378570573498477, 1.2020953334912323 orientation: 135.4375
Drive 0.08155 pose: 1.324934813337087, 1.2635250309665564 orientation: 131.125
Drive 0.06215344827586207 pose: 1.2840562425838375, 1.3103437621086094 orientation: 131.125
Drive 0.18258297872340426 pose: 1.1719610954848505, 1.454466009233637 orientation: 127.87500000000001
Drive 2.115131666111322 pose: 2.8979328626026755, 0.2318444716763155 orientation: 324.6875
Drive -0.25 pose: 2.693929987182273, 0.3763533877341414 orientation: 324.6875
Drive 0 pose: 2.693929987182273, 0.3763533877341414 orientation: 133.8125
Drive 0.1976214285714286 pose: 2.523000788368973, 0.4755372474274177 orientation: 149.875
Drive 0.1976214285714286 pose: 2.3423770565496005, 0.5557201417020425 orientation: 156.0625
Drive 0.16190714285714286 pose: 2.1943957745475866, 0.6214123260560716 orientation: 156.0625
Drive 0.11520384615384616 pose: 2.0860538662219548, 0.660578090047081 orientation: 160.125
Drive 0.097175 pose: 1.994666943883583, 0.6936146009179404 orientation: 160.125
Drive 0.07522977528089887 pose: 1.9239181131027374, 0.7191904104253211 orientation: 160.125
Drive 0.05636343283582089 pose: 1.8709118804370188, 0.7383522438351441 orientation: 160.125
Drive 0.16965794392523365 pose: 1.7113593479380926, 0.7960307260457294 orientation: 160.125
Drive 1.4835865814750684 pose: 3.0490261505056067, 0.1544103787673069 orientation: 334.375
Drive -0.25 pose: 2.8236151736084025, 0.26253018034984854 orientation: 334.375
Drive 0 pose: 2.8236151736084025, 0.26253018034984854 orientation: 95.4375
Drive 0.24632272727272728 pose: 2.7286073235890185, 0.48979301146344845 orientation: 112.6875
Drive 0.24632272727272728 pose: 2.6335994735696344, 0.7170558425770484 orientation: 112.6875
Drive 0.1976214285714286 pose: 2.5573759465966543, 0.8993857714598614 orientation: 112.6875
Drive 0.1753 pose: 2.470887716190627, 1.0518648716711165 orientation: 119.5625
Drive 0.1579388888888889 pose: 2.3929649836618525, 1.189242964461437 orientation: 119.5625
Drive 0.11520384615384616 pose: 2.336126553600162, 1.289449346677149 orientation: 119.5625
Drive 0.0894725352112676 pose: 2.297343565722496, 1.370079455249644 orientation: 115.68749999999999
Drive 0.07224148936170213 pose: 2.2660295898799228, 1.4351814344985705 orientation: 115.68749999999999
Drive 0.0581125 pose: 2.2367540246388646, 1.485381075294761 orientation: 120.25
