Drive -0.25 pose: 3.285836974158315, 0.5804095510518983 orientation: 335.9375
Drive 0 pose: 3.285836974158315, 0.5804095510518983 orientation: 89.4375
Drive 0.1976214285714286 pose: 3.2877770868304643, 0.7780214560410249 orientation: 89.4375
Drive 0.14405 pose: 3.2891912716809806, 0.9220645141216162 orientation: 89.4375
Drive 0.09969516129032258 pose: 3.290170010915736, 1.0217548709983661 orientation: 89.4375
Drive 0.08155 pose: 3.290970613307681, 1.1033009410189993 orientation: 89.4375
Drive 0.06369285714285715 pose: 3.291595906425748, 1.1669907287367873 orientation: 89.4375
Drive 0.19247906976744186 pose: 3.2934855349193723, 1.3594605227375496 orientation: 89.4375
Drive 0.9715517654672169 pose: 3.6838045140812365, 0.46976173804213006 orientation: 293.6875
Drive -0.25 pose: 3.583367513955422, 0.6986993037794444 orientation: 293.6875
Drive 0 pose: 3.583367513955422, 0.6986993037794444 orientation: 135.1875
Drive 0.40366538461538465 pose: 3.2970004309003493, 0.9831982255334915 orientation: 135.1875
Drive 0.26905 pose: 3.106131789118299, 1.1728217053145444 orientation: 135.1875
Drive 0.22738333333333335 pose: 2.944822188682661, 1.333078976865861 orientation: 135.1875
Drive 0.18571666666666667 pose: 2.8222184427942496, 1.4725745028583015 orientation: 131.3125
Drive 0.13268636363636363 pose: 2.743061060360726, 1.5790629055194092 orientation: 126.62500000000001
Drive 0.12109081632653061 pose: 2.6884403519359004, 1.6871349370992574 orientation: 116.8125
Drive 0.10238333333333333 pose: 2.6422580701806777, 1.7785107752422022 orientation: 116.8125
Drive 0.07586818181818182 pose: 2.6080360377960083, 1.8462221739270568 orientation: 116.8125
Drive 0.059372580645161294 pose: 2.581254713545093, 1.8992114558983528 orientation: 116.8125
Drive 0.1742392156862745 pose: 2.487956872973359, 2.0463672142893157 orientation: 122.375
Drive 2.0660159018649895 pose: 3.8552517134890776, 0.4975203768460188 orientation: 311.4375
Drive -0.25 pose: 3.689801045940795, 0.6849398971949613 orientation: 311.4375
Drive 0.11338962264150944 pose: 3.6234528535745647, 0.592988149563295 orientation: 234.18750000000003
Drive 0.05306360544217688 pose: 3.592403501618838, 0.5499569519776779 orientation: 234.18750000000003
Drive 0 pose: 3.592403501618838, 0.5499569519776779 orientation: 127.25
Drive 0.5746055555555556 pose: 3.1571024528974054, 0.9250363321858275 orientation: 139.25000000000003
Drive 0.51905 pose: 2.7638883477528644, 1.2638512817016034 orientation: 139.25000000000003
Drive 0.4357166666666667 pose: 2.403997129116235, 1.5094674952530565 orientation: 145.6875
Drive 0.2968277777777778 pose: 2.1588247066636157, 1.6767911723857571 orientation: 145.6875
Drive 0.21135769230769233 pose: 1.9842484664780797, 1.795934827106918 orientation: 145.6875
Drive 0.15062894736842106 pose: 1.8598326715875766, 1.880845308009353 orientation: 145.6875
Drive 0.11164259259259258 pose: 1.767618644046971, 1.9437789365837173 orientation: 145.6875
Drive 0.08002560975609756 pose: 1.7015194644181726, 1.9888898739408045 orientation: 145.6875
Drive 0.0581125 pose: 1.6518055423925262, 2.018982873343954 orientation: 148.8125
Drive 0.18489565217391304 pose: 1.4809071519738441, 2.089552996945379 orientation: 157.5625
Drive 2.9694145919239388 pose: 3.965961980791908, 0.4641528872804279 orientation: 326.8125
Drive -0.25 pose: 3.756741042464806, 0.6009980514826272 orientation: 326.8125
